,Segment ID,Roadway Name,From,To,From Lat,From Lon,To Lat,To Lon
57,24988,NEPTUNE AVE,SHEEPSHEAD BAY RD,W 12th ST,40.57971999999999,-73.9771331,40.5794348,-73.9796066
58,25654,CONEY ISLAND AVE,AVE S,AVE T,40.6030108,-73.9615456,40.6005864,-73.961362
59,26096,AVE Z,E 15th ST,E 16th ST,40.5879647,-73.9543439,40.5880664,-73.9534175
60,26932,CONEY ISLAND AVENUE,FOSTER AVENUE,NEWKIRK AVENUE,40.6322831,-73.9667692,40.63373139999999,-73.9671881
61,26962,AVE P,CONEY ISLAND AVE,E 12th ST,40.6099786,-73.9624499,40.610094,-73.96136940000001
62,27017,AVENUE J,EAST 12 STREET,EAST 13 STREET,40.6248836,-73.96415019999999,40.6249641,-73.9632486
63,27106,KINGS HWY,E 15th ST,E 16th ST,40.60873730000001,-73.95827849999999,40.6091173,-73.9574004
64,27121,AVE N ,E 15th ST,E 16th ST,40.6156136,-73.95958399999999,40.6157144,-73.95864499999999
65,27139,AVE M ,E 15th ST,ELM AVE,40.618011,-73.960042,40.6180475,-73.9596723
66,27344,OCEAN AVE,AVE R,AVE S,40.6063501,-73.9527377,40.6040255,-73.9523028
67,27462,BEDFORD AVE,AVE R,QUENTIN RD,40.6068721,-73.94795710000001,40.609333,-73.94842179999999
68,27567,NOSTRAND AVE,AVE P,QUENTIN RD,40.6126779,-73.9441721,40.6101847,-73.9437026
69,28015,CONEY ISLAND AVE,CATON AVE,CHURCH AVE,40.6482598,-73.9714142,40.6463875,-73.9708452
70,28069,CORTELYOU ROAD,EAST 11 STREET,EAST 12 STREET,40.6412679,-73.9639359,40.7285905,-73.9797262
71,49572, JAMAICA AVENUE , AUTUMN AVENUE , EUCLID AVENUE  ,40.69027759999999,-73.8717138,40.6886804,-73.8754612
72,28103,CHURCH AVE,E 13th ST,E 14th ST,40.7269987,-73.9746965,40.6420511,-73.9812283
73,28234,CATON AVE ,E 18th ST,ST PAUL'S PL,40.6513604,-73.9634599,40.65153129999999,-73.96303069999999
74,28262,OCEAN AVE,CATON AVE,CROOKE AVE,40.6521733,-73.9613973,40.6531822,-73.96160139999999
75,28288,OCEAN AVENUE,FARRAGUT ROAD,GLENWOOD ROAD,40.6352905,-73.95819999999999,40.632903,-73.95776339999999
76,28370,FLATBUSH AVE ,CATON AVE ,CLARKSON AVE,40.6529283,-73.9593266,40.6548502,-73.9597047
77,28403,FARRAGUT ROAD,BEDFORD AVENUE,EAST 24 STREET,40.6358206,-73.9534225,40.6357072,-73.954393
78,28612,ROGERS AVE,LENOX RD,LINDEN BLVD,40.65397859999999,-73.9528232,40.652482,-73.952659
79,28620,ROGERS AVE,CLARKSON AVE,LENOX RD,40.6552408,-73.9529627,40.65397859999999,-73.9528232
80,28637,FLATBUSH AVENUE,EAST 28 STREET,EAST 29 STREET,40.6349814,-73.94991019999999,40.6339431,-73.94884880000001
81,28732,NOSTRAND AVE,LENOX RD ,LINDEN BLVD,40.6541536,-73.9499329,40.6526574,-73.94977750000001
82,28845,CHURCH AVE,E 37th ST,BROOKLYN AVE,40.6511041,-73.94282319999999,40.6511159,-73.94381039999999
83,28855,LINDEN BLVD,BROOKLYN AVE,E 37th ST,40.6529731,-73.9439991,40.65303,-73.9430349
84,28923,5 AVENUE,DE GRAW STREET,DOUGLASS STREET,40.677681,-73.9795997,40.678312,-73.9791702
85,28934,6 AVENUE,ST JOHN'S PLACE,STERLING PLACE,40.6774254,-73.9766092,40.6780626,-73.9761776
86,28973,FLATBUSH AVENUE,4 AVENUE,ROCKWELL PLACE,40.6849166,-73.9780674,40.6880932,-73.9794683
87,28976, ASHLAND PLACE , 4 AVENUE  , LAFAYETTE AVENUE ,40.672933,-73.9861256,40.6868179,-73.97822339999999
88,28997,PROSPECT PARK WEST,2 STREET,3 STREET,40.6688306,-73.973329,40.6682162,-73.973828
89,29014,8 AVENUE,CARROLL STREET,GARFIELD PLACE,40.672222,-73.97382,40.671172,-73.9747017
90,29030,7 AVENUE,LINCOLN PLACE,ST JOHN'S PLACE,40.675729,-73.97458979999999,40.6764516,-73.97410579999999
91,29470,CLASSON AVE,GATES AVE,PUTNAM AVE,40.6852182,-73.95926530000001,40.6830185,-73.9588528
92,29662,BEDFORD AVE,PROSPECT PL,ST MARK'S AVE,40.6745036,-73.9537084,40.6753892,-73.9533723
93,29668,ROGERS AVE,LINCOLN PL,ST JOHN'S PL,40.6708992,-73.9531942,40.6717833,-73.9531148
94,29696,BEDFORD AVE,HANCOCK ST,JEFFERSON AVE,40.68212159999999,-73.9536626,40.6828564,-73.95380999999999
95,29843,BROOKLYN AVE,ST JOHN'S PL,LINCOLN PL,40.6713431,-73.9447976,40.6704979,-73.944872
96,30633,LAFAYETTE AVE,CLASSON AVE,FRANKLIN AVE,40.6888847,-73.9600183,40.6892468,-73.95697129999999
97,30645,MYRTLE AVE,CLASSON AVE,TAAFFE AVE,40.694011,-73.96109299999999,40.69411040000001,-73.960156
