,Date,Weekday,Segment ID,Direction,Total Traffic,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
0,02/02/2013,Saturday,2153,NB,5391.0,106.0,-30.18867924528302,-39.189189189189186,-35.55555555555556,0.0,55.172413793103445,57.77777777777778,104.22535211267606,46.89655172413793,30.516431924882628,39.20863309352518,-13.436692506459949,21.19402985074627,1.2315270935960592,-9.732360097323602,7.277628032345014,-18.592964824120603,21.604938271604937,-3.8071065989847717,-13.192612137203167,-24.316109422492403,-20.883534136546185,-5.0761421319796955,-9.62566844919786
1,02/03/2013,Sunday,2153,NB,4085.0,-35.50295857988166,-32.11009174311926,-25.675675675675677,-32.72727272727273,-29.72972972972973,-3.8461538461538463,88.0,57.4468085106383,50.0,83.78378378378379,22.058823529411764,40.963855421686745,6.552706552706553,-6.4171122994652405,-12.0,-5.51948051948052,7.560137457044673,-19.169329073482427,-4.3478260869565215,-10.330578512396695,-3.225806451612903,-31.428571428571427,-13.194444444444445,-36.8
2,02/04/2013,Monday,2153,NB,5867.0,-54.43037974683544,-22.22222222222222,-60.714285714285715,45.45454545454545,100.0,237.5,55.55555555555556,148.8095238095238,17.942583732057415,-46.65314401622718,7.224334600760456,8.865248226950355,-0.9771986970684039,7.894736842105263,29.878048780487806,-0.2347417840375587,-1.411764705882353,11.933174224343675,-9.381663113006397,-15.764705882352942,-37.43016759776536,-17.410714285714285,-28.64864864864865,-43.93939393939394
3,02/05/2013,Tuesday,2153,NB,6172.0,-43.24324324324324,-33.333333333333336,-42.857142857142854,-25.0,183.33333333333334,220.58823529411765,77.06422018348624,105.69948186528498,25.692695214105793,-51.703406813627254,5.809128630705394,15.294117647058824,5.442176870748299,23.225806451612904,2.8795811518324608,21.88295165394402,-7.933194154488517,7.936507936507937,-6.302521008403361,-4.932735426008969,-28.066037735849058,-28.19672131147541,-21.91780821917808,-55.55555555555556
4,02/06/2013,Wednesday,2153,NB,5597.0,-53.94736842105263,8.571428571428571,-68.42105263157895,16.666666666666668,121.42857142857143,216.1290322580645,98.9795918367347,90.76923076923077,31.72043010752688,-39.38775510204081,-12.457912457912458,8.846153846153847,18.021201413427562,-2.9940119760479043,18.209876543209877,0.26109660574412535,1.8229166666666667,-5.626598465473146,8.672086720867208,-15.71072319201995,-30.17751479289941,-21.1864406779661,-33.87096774193548,-38.21138211382114
5,02/07/2013,Thursday,2153,NB,5302.0,-56.578947368421055,-21.21212121212121,-46.15384615384615,57.142857142857146,40.90909090909091,222.58064516129033,71.0,123.39181286549707,20.418848167539267,-40.65217391304348,-21.245421245421245,22.325581395348838,-3.4220532319391634,19.291338582677167,-50.165016501650165,170.86092715231788,3.1784841075794623,-13.744075829383887,-2.197802197802198,-4.775280898876405,-18.87905604719764,-18.181818181818183,-24.88888888888889,-38.46153846153846
6,02/08/2013,Friday,2153,NB,6448.0,-66.34615384615384,-20.0,-35.714285714285715,-22.22222222222222,142.85714285714286,161.76470588235293,126.96629213483146,51.48514851485149,43.790849673202615,-34.09090909090909,-18.620689655172413,19.491525423728813,21.631205673758867,2.9154518950437316,21.813031161473088,20.46511627906977,-11.003861003861005,5.206073752711497,9.484536082474227,-25.98870056497175,-10.687022900763358,-21.367521367521366,-12.318840579710145,-36.36363636363637
7,02/09/2013,Saturday,2153,NB,5504.0,-28.571428571428573,-33.63636363636363,-36.986301369863014,-30.434782608695652,-9.375,51.724137931034484,65.9090909090909,105.47945205479452,44.666666666666664,30.4147465437788,39.57597173144876,-13.417721518987342,21.05263157894737,1.2077294685990339,-9.54653937947494,7.124010554089709,-18.7192118226601,21.818181818181817,-3.7313432835820897,-13.178294573643411,-24.404761904761905,-20.866141732283463,-4.975124378109452,-8.900523560209423
8,02/10/2013,Sunday,2153,NB,4171.0,-34.48275862068966,-32.45614035087719,-24.675324675324674,-31.03448275862069,-30.0,-3.5714285714285716,77.77777777777777,60.416666666666664,64.93506493506493,63.77952755905512,14.423076923076923,50.84033613445378,6.406685236768802,-6.806282722513089,-11.51685393258427,-5.714285714285714,7.744107744107744,-19.6875,-4.280155642023346,-10.16260162601626,-3.167420814479638,-31.30841121495327,-17.687074829931973,-29.75206611570248
9,02/11/2013,Monday,2153,NB,5989.0,-55.294117647058826,-21.05263157894737,-50.0,26.666666666666668,78.94736842105263,229.41176470588235,53.57142857142857,148.25581395348837,17.56440281030445,-46.613545816733065,7.08955223880597,9.059233449477352,-0.9584664536741214,3.5483870967741935,35.202492211838006,-0.2304147465437788,1.1547344110854503,9.132420091324201,-9.414225941422593,-15.704387990762125,-37.534246575342465,-17.105263157894736,-28.04232804232804,-44.85294117647059
10,02/12/2013,Tuesday,2153,NB,6326.0,-42.666666666666664,-25.58139534883721,-37.5,-25.0,140.0,213.88888888888889,74.33628318584071,105.0761421319797,25.99009900990099,-51.8664047151277,6.122448979591836,15.384615384615385,6.0,22.641509433962263,2.8205128205128207,21.69576059850374,-7.786885245901639,8.0,-6.584362139917696,-4.6255506607929515,-27.9445727482679,-28.525641025641026,-21.524663677130047,-44.57142857142857
