,Pickup_time,Dropoff_time,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Trip_distance
0,2013-08-01 17:22:00,2013-08-01 17:22:00,-73.9377670288086,40.75848007202149,-73.9377670288086,40.75848007202149,2.5
1,2013-08-01 17:24:00,2013-08-01 17:25:00,-73.93792724609375,40.75784301757813,-73.93792724609375,40.75784301757813,2.5
2,2013-08-05 11:31:47,2013-08-05 11:34:01,-115.17910003662108,36.1370964050293,-115.17933654785156,36.13668441772461,1.0
3,2013-08-05 11:31:47,2013-08-05 11:32:16,-115.17910003662108,36.1370964050293,-115.17933654785156,36.13668441772461,1.2
4,2013-08-05 11:51:21,2013-08-05 11:51:36,-115.17919921875,36.13704681396485,-115.17919921875,36.13700866699219,1.0
5,2013-08-05 11:53:27,2013-08-05 11:53:43,-115.17933654785156,36.13675308227539,-115.17927551269531,36.13682556152344,1.0
6,2013-08-06 06:51:19,2013-08-06 06:51:36,-73.9377212524414,40.75840377807617,-73.9377212524414,40.75836944580078,3.3
7,2013-08-06 10:33:07,2013-08-06 10:33:46,-76.97966766357422,38.92708206176758,-76.9797134399414,38.92732620239258,3.25
8,2013-08-06 13:26:34,2013-08-06 13:26:57,-73.93769073486328,40.75841903686523,-73.93778991699219,40.75835800170898,3.3
9,2013-08-06 13:27:53,2013-08-06 13:28:08,-73.93780517578125,40.75839614868164,-73.93777465820312,40.75844955444336,3.3
10,2013-08-06 13:29:17,2013-08-06 13:29:52,-73.937744140625,40.75841522216797,-73.93775939941406,40.75838851928711,3.5
11,2013-08-06 13:30:55,2013-08-06 13:31:12,-73.93777465820312,40.75836563110352,-73.93778991699219,40.75835037231445,3.3
12,2013-08-07 10:22:30,2013-08-07 10:23:24,-76.97994995117188,38.92729187011719,-76.9795913696289,38.92728805541992,3.52
13,2013-08-07 10:24:53,2013-08-07 10:28:16,-76.97966766357422,38.92731094360352,-76.97988891601562,38.92717361450195,3.25
14,2013-08-07 10:24:53,2013-08-07 10:27:24,-76.97966766357422,38.92731094360352,-76.9798126220703,38.92712783813477,3.52
15,2013-08-07 10:33:23,2013-08-07 10:34:10,-76.97978973388672,38.92731094360352,-76.97956085205078,38.92715072631836,3.52
16,2013-08-07 14:12:46,2013-08-07 14:15:16,-73.93748474121094,40.758392333984375,-73.93748474121094,40.758209228515625,3.5
17,2013-08-07 15:13:35,2013-08-07 15:13:49,-115.17919158935548,36.13685989379883,-115.17928314208984,36.13706588745117,1.0
18,2013-08-07 15:38:07,2013-08-07 15:38:27,-73.93748474121094,40.758125305175774,-73.93748474121094,40.75813674926758,2.5
19,2013-08-07 15:42:29,2013-08-07 15:43:25,-73.9374771118164,40.75817489624024,-73.93742370605469,40.75815200805664,2.5
20,2013-08-07 15:46:09,2013-08-07 15:48:56,-73.93744659423827,40.758243560791016,-73.93750762939453,40.75825119018555,3.5
21,2013-08-07 15:49:16,2013-08-07 15:49:32,-73.93750762939453,40.75823974609375,-73.93744659423827,40.75818252563477,2.5
22,2013-08-07 16:06:29,2013-08-07 16:08:52,-73.93742370605469,40.75823974609375,-73.93746948242188,40.758201599121094,3.5
23,2013-08-07 16:15:27,2013-08-07 16:18:27,-73.93742370605469,40.758167266845696,-73.93743133544923,40.75821304321289,2.5
24,2013-08-07 16:15:27,2013-08-07 16:20:09,-73.93742370605469,40.758167266845696,-73.93742370605469,40.75825119018555,3.0
25,2013-08-07 16:27:31,2013-08-07 16:27:55,-73.93744659423827,40.75818252563477,-73.93749237060547,40.75819396972656,2.5
26,2013-08-07 16:27:31,2013-08-07 16:35:34,-73.93744659423827,40.75818252563477,-73.93732452392578,40.75819778442383,3.0
27,2013-08-07 16:38:29,2013-08-07 16:40:06,-73.93736267089844,40.758148193359375,-73.93741607666014,40.75808715820313,2.5
28,2013-08-07 16:38:29,2013-08-07 16:46:51,-73.93736267089844,40.758148193359375,-73.93724060058594,40.75810623168945,5.5
29,2013-08-07 16:43:27,2013-08-07 16:44:24,-73.93766021728516,40.75834655761719,-73.93772888183594,40.75830459594727,2.5
30,2013-08-07 16:47:03,2013-08-07 16:48:44,-73.93765258789062,40.75828552246094,-73.93766784667969,40.75829315185547,3.0
31,2013-08-07 16:48:41,2013-08-07 16:48:58,-73.93724822998048,40.75801849365234,-73.93730926513672,40.75808334350585,7.0
32,2013-08-07 16:48:41,2013-08-07 16:52:42,-73.93724822998048,40.75801849365234,-73.93738555908203,40.75811767578125,21.0
33,2013-08-07 16:54:29,2013-08-07 16:54:46,-73.9374008178711,40.75812149047852,-73.93743896484375,40.7581443786621,30.0
34,2013-08-07 16:54:29,2013-08-07 16:56:15,-73.9374008178711,40.75812149047852,-73.93741607666014,40.75811767578125,52.0
35,2013-08-07 16:56:50,2013-08-07 16:57:09,-73.93740844726562,40.7580680847168,-73.93739318847656,40.75813674926758,2.5
36,2013-08-07 16:58:39,2013-08-07 17:01:59,-73.93750762939453,40.758113861083984,-73.93756866455078,40.75808334350585,0.0
